sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
F3D0	7793	5592	71.76	5420	4721	60.58	4721	60.58
F3D1	5869	4373	74.51	4282	4012	68.36	4012	68.36
F3D141	5958	4120	69.15	4003	3473	58.29	3473	58.29
F3D142	3183	2111	66.32	1984	1625	51.05	1625	51.05
F3D143	3178	2169	68.25	2057	1656	52.11	1656	52.11
F3D144	4827	2947	61.05	2799	2159	44.73	2146	44.46
F3D145	7377	4386	59.46	4226	3419	46.35	3346	45.36
F3D146	5021	3548	70.66	3419	2665	53.08	2646	52.7
F3D147	17070	10387	60.85	10190	9091	53.26	8881	52.03
F3D148	12405	8279	66.74	8113	7008	56.49	6843	55.16
F3D149	13083	8895	67.99	8714	7628	58.3	7566	57.83
F3D150	5509	3736	67.82	3584	2905	52.73	2905	52.73
F3D2	19620	13723	69.94	13553	12814	65.31	12639	64.42
F3D3	6758	4508	66.71	4397	3695	54.68	3503	51.83
F3D5	4448	3063	68.86	2952	2644	59.44	2644	59.44
F3D6	7989	5681	71.11	5572	4814	60.26	4814	60.26
F3D7	5129	3565	69.51	3456	3135	61.12	3047	59.41
F3D8	5294	4016	75.86	3880	3401	64.24	3401	64.24
F3D9	7070	5269	74.53	5162	4753	67.23	4753	67.23
Mock	4779	3925	82.13	3902	3864	80.85	3864	80.85
